"codgeo";"libgeo";"pop2019";"pop0020_2019";"pop6475_2019";"pop7582019";"typoAAV20";"grilledens7";"libaav20";"tx_evol_annuel_1319"
"01001";"L'Abergement-Clémenciat";"779";"209";"131";"61";"T01_20";6;"524 - Châtillon-sur-Chalaronne";"0.26"
"01002";"L'Abergement-de-Varey";"256";"70";"35";"20";"T00_30";6;"N/A - hors champ";"1.36"
"01004";"Ambérieu-en-Bugey";"14134";"3686";"2054";"1239";"T01_10";2;"243 - Ambérieu-en-Bugey";"-0.26"
"01005";"Ambérieux-en-Dombes";"1751";"435";"272";"121";"T45_20";5;"002 - Lyon";"1.15"
"01006";"Ambléon";"112";"15";"27";"11";"T01_20";6;"286 - Belley";"0.61"
"01007";"Ambronay";"2800";"769";"427";"191";"T01_20";6;"243 - Ambérieu-en-Bugey";"1.89"
"01008";"Ambutrix";"762";"181";"114";"37";"T01_20";4;"243 - Ambérieu-en-Bugey";"0.4"
"01009";"Andert-et-Condon";"326";"71";"69";"42";"T01_20";6;"286 - Belley";"-0.55"
"01010";"Anglefort";"1105";"309";"151";"78";"T00_30";5;"N/A - hors champ";"-0.05"
"01011";"Apremont";"368";"102";"78";"16";"T02_20";6;"168 - Oyonnax";"-1.13"
"01012";"Aranc";"329";"79";"61";"46";"T01_20";6;"572 - Plateau d'Hauteville";"0.78"
"01013";"Arandas";"143";"36";"27";"11";"T01_20";7;"243 - Ambérieu-en-Bugey";"-1.65"
"01014";"Arbent";"3349";"811";"680";"257";"T02_20";4;"168 - Oyonnax";"-0.3"
"01015";"Arboys en Bugey";"650";"138";"135";"74";"T01_20";6;"286 - Belley";"0.5"
"01016";"Arbigny";"460";"129";"80";"38";"T02_20";6;"084 - Mâcon";"1.25"
"01017";"Argis";"457";"121";"82";"42";"T00_30";6;"N/A - hors champ";"1.34"
"01019";"Armix";"27";"4";"10";"2";"T00_30";7;"N/A - hors champ";"4.28"
"01021";"Ars-sur-Formans";"1457";"383";"252";"79";"T45_20";5;"002 - Lyon";"0.82"
"01022";"Artemare";"1249";"279";"243";"151";"T01_20";5;"286 - Belley";"1.02"
"01023";"Asnières-sur-Saône";"76";"19";"12";"3";"T02_20";6;"084 - Mâcon";"1.62"
"01024";"Attignat";"3251";"883";"510";"215";"T02_20";5;"080 - Bourg-en-Bresse";"-0.05"
"01025";"Bâgé-Dommartin";"4065";"1135";"661";"246";"T02_20";6;"084 - Mâcon";"0.12"
"01026";"Bâgé-le-Châtel";"973";"216";"160";"138";"T02_20";5;"084 - Mâcon";"2.18"
"01027";"Balan";"2563";"713";"245";"74";"T45_20";5;"002 - Lyon";"-1.63"
"01028";"Baneins";"617";"184";"114";"36";"T00_30";6;"N/A - hors champ";"1.24"
"01029";"Beaupont";"685";"160";"103";"57";"T02_20";6;"080 - Bourg-en-Bresse";"0.2"
"01030";"Beauregard";"829";"218";"121";"48";"T45_20";4;"002 - Lyon";"-0.91"
"01031";"Bellignat";"3652";"957";"601";"252";"T02_10";2;"168 - Oyonnax";"0.03"
"01032";"Béligneux";"3376";"1073";"390";"212";"T45_20";5;"002 - Lyon";"0.36"
"01033";"Valserhône";"16378";"4167";"2250";"1271";"T45_20";2;"GEN - Genève - Annemasse (partie française)";"0.55"
"01034";"Belley";"9182";"2203";"1466";"1195";"T01_10";3;"286 - Belley";"0.5"
"01035";"Belleydoux";"310";"65";"70";"23";"T02_20";6;"168 - Oyonnax";"-0.89"
"01036";"Valromey-sur-Séran";"1326";"287";"293";"152";"T01_20";6;"286 - Belley";"1.11"
"01037";"Bénonces";"308";"74";"64";"23";"T00_30";6;"N/A - hors champ";"1.85"
"01038";"Bény";"754";"185";"136";"70";"T02_20";6;"080 - Bourg-en-Bresse";"0.82"
"01039";"Béon";"443";"104";"91";"35";"T01_20";6;"652 - Culoz";"-0.52"
"01040";"Béréziat";"486";"137";"70";"35";"T02_20";6;"080 - Bourg-en-Bresse";"0.56"
"01041";"Bettant";"748";"174";"113";"65";"T01_20";4;"243 - Ambérieu-en-Bugey";"0.04"
"01042";"Bey";"291";"77";"56";"18";"T02_20";6;"084 - Mâcon";"1.9"
"01043";"Beynost";"4754";"1229";"723";"418";"T45_20";2;"002 - Lyon";"0.79"
"01044";"Billiat";"632";"172";"87";"46";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"1.5"
"01045";"Birieux";"283";"89";"33";"17";"T45_20";6;"002 - Lyon";"0.18"
"01046";"Biziat";"895";"256";"113";"63";"T00_30";6;"N/A - hors champ";"1.39"
"01047";"Blyes";"1182";"362";"113";"44";"T45_20";6;"002 - Lyon";"3.82"
"01049";"La Boisse";"3283";"920";"473";"241";"T45_20";4;"002 - Lyon";"1.93"
"01050";"Boissey";"365";"120";"36";"27";"T02_20";6;"084 - Mâcon";"2.54"
"01051";"Bolozon";"91";"12";"25";"10";"T00_30";7;"N/A - hors champ";"0.18"
"01052";"Bouligneux";"328";"71";"64";"35";"T45_20";7;"002 - Lyon";"1.27"
"01053";"Bourg-en-Bresse";"41111";"9636";"6720";"4957";"T02_10";2;"080 - Bourg-en-Bresse";"0.25"
"01054";"Bourg-Saint-Christophe";"1457";"430";"195";"69";"T45_20";5;"002 - Lyon";"2.48"
"01056";"Boyeux-Saint-Jérôme";"349";"93";"72";"28";"T00_30";6;"N/A - hors champ";"-0.74"
"01057";"Boz";"519";"144";"72";"38";"T02_20";6;"084 - Mâcon";"0.36"
"01058";"Brégnier-Cordon";"828";"215";"151";"79";"T00_30";6;"N/A - hors champ";"-0.73"
"01060";"Brénod";"493";"97";"102";"65";"T01_20";6;"572 - Plateau d'Hauteville";"-1.81"
"01061";"Brens";"1144";"284";"256";"59";"T01_20";6;"286 - Belley";"-0.79"
"01062";"Bressolles";"934";"254";"138";"55";"T45_20";4;"002 - Lyon";"2.36"
"01063";"Brion";"533";"119";"134";"44";"T02_20";3;"168 - Oyonnax";"0.61"
"01064";"Briord";"1070";"292";"152";"38";"T00_30";6;"N/A - hors champ";"2.07"
"01065";"Buellas";"1812";"447";"330";"137";"T02_20";5;"080 - Bourg-en-Bresse";"0.74"
"01066";"La Burbanche";"89";"23";"18";"5";"T01_20";7;"286 - Belley";"3.6"
"01067";"Ceignes";"255";"64";"32";"8";"T00_30";6;"N/A - hors champ";"-0.45"
"01068";"Cerdon";"775";"172";"128";"101";"T00_30";6;"N/A - hors champ";"0.57"
"01069";"Certines";"1503";"379";"267";"63";"T02_20";5;"080 - Bourg-en-Bresse";"0.72"
"01071";"Cessy";"4808";"1344";"489";"150";"T45_20";4;"GEN - Genève - Annemasse (partie française)";"1.02"
"01072";"Ceyzériat";"3194";"809";"523";"321";"T02_20";5;"080 - Bourg-en-Bresse";"0.83"
"01073";"Ceyzérieu";"1000";"207";"235";"90";"T01_20";6;"286 - Belley";"-0.08"
"01074";"Chalamont";"2589";"719";"351";"266";"T45_20";5;"002 - Lyon";"1.21"
"01075";"Chaleins";"1382";"372";"202";"58";"T45_20";5;"002 - Lyon";"2.4"
"01076";"Chaley";"125";"15";"38";"16";"T00_30";6;"N/A - hors champ";"-2.56"
"01077";"Challes-la-Montagne";"196";"45";"40";"17";"T00_30";6;"N/A - hors champ";"1.34"
"01078";"Challex";"1557";"403";"204";"138";"T45_20";3;"GEN - Genève - Annemasse (partie française)";"1.97"
"01079";"Champagne-en-Valromey";"811";"189";"162";"154";"T00_30";6;"N/A - hors champ";"0.12"
"01080";"Champdor-Corcelles";"643";"161";"114";"55";"T01_20";6;"572 - Plateau d'Hauteville";"-0.9"
"01081";"Champfromier";"735";"171";"130";"56";"T00_30";6;"N/A - hors champ";"0.51"
"01082";"Chanay";"628";"230";"73";"33";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"-0.47"
"01083";"Chaneins";"927";"254";"122";"57";"T00_30";6;"N/A - hors champ";"1.52"
"01084";"Chanoz-Châtenay";"895";"269";"133";"56";"T02_20";6;"080 - Bourg-en-Bresse";"2.85"
"01085";"La Chapelle-du-Châtelard";"400";"113";"62";"25";"T45_20";6;"002 - Lyon";"1.08"
"01087";"Charix";"282";"71";"43";"28";"T02_20";6;"168 - Oyonnax";"-0.12"
"01088";"Charnoz-sur-Ain";"903";"212";"126";"34";"T45_20";5;"002 - Lyon";"-0.22"
"01089";"Château-Gaillard";"2253";"674";"295";"113";"T45_20";5;"002 - Lyon";"2.52"
"01090";"Châtenay";"356";"95";"79";"27";"T00_30";6;"N/A - hors champ";"0.82"
"01092";"Châtillon-la-Palud";"1604";"444";"258";"116";"T45_20";5;"002 - Lyon";"0.33"
"01093";"Châtillon-sur-Chalaronne";"4931";"1079";"847";"796";"T01_10";5;"524 - Châtillon-sur-Chalaronne";"-0.09"
"01094";"Chavannes-sur-Reyssouze";"761";"185";"123";"73";"T02_20";6;"084 - Mâcon";"0.65"
"01095";"Nivigne et Suran";"853";"257";"134";"59";"T02_20";6;"080 - Bourg-en-Bresse";"1.29"
"01096";"Chaveyriat";"1034";"280";"160";"64";"T02_20";6;"080 - Bourg-en-Bresse";"0.98"
"01098";"Chazey-Bons";"1159";"296";"200";"106";"T01_20";6;"286 - Belley";"2.49"
"01099";"Chazey-sur-Ain";"1566";"374";"240";"119";"T45_20";6;"002 - Lyon";"0.24"
"01100";"Cheignieu-la-Balme";"131";"23";"31";"23";"T01_20";6;"286 - Belley";"-1.79"
"01101";"Chevillard";"152";"29";"28";"9";"T00_30";6;"N/A - hors champ";"-0.75"
"01102";"Chevroux";"961";"273";"135";"59";"T02_20";6;"084 - Mâcon";"0.3"
"01103";"Chevry";"2149";"616";"172";"80";"T45_20";4;"GEN - Genève - Annemasse (partie française)";"7.45"
"01104";"Chézery-Forens";"461";"114";"74";"34";"T00_30";6;"N/A - hors champ";"0"
"01105";"Civrieux";"1829";"501";"222";"94";"T45_20";5;"002 - Lyon";"4.05"
"01106";"Cize";"179";"46";"20";"28";"T02_20";6;"080 - Bourg-en-Bresse";"0.57"
"01107";"Cleyzieu";"133";"30";"33";"8";"T01_20";6;"243 - Ambérieu-en-Bugey";"-0.37"
"01108";"Coligny";"1176";"243";"245";"200";"T02_20";6;"080 - Bourg-en-Bresse";"0.17"
"01109";"Collonges";"2226";"666";"215";"78";"T45_20";5;"GEN - Genève - Annemasse (partie française)";"0.94"
"01110";"Colomieu";"156";"35";"43";"8";"T01_20";6;"286 - Belley";"3.9"
"01111";"Conand";"132";"35";"24";"10";"T01_20";7;"243 - Ambérieu-en-Bugey";"2.62"
"01112";"Condamine";"450";"130";"53";"16";"T00_30";6;"N/A - hors champ";"1.28"
"01113";"Condeissiat";"817";"216";"123";"61";"T02_20";6;"080 - Bourg-en-Bresse";"0.23"
"01114";"Confort";"667";"167";"108";"88";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"3.08"
"01115";"Confrançon";"1333";"372";"175";"66";"T02_20";6;"080 - Bourg-en-Bresse";"0.15"
"01116";"Contrevoz";"498";"119";"103";"63";"T01_20";6;"286 - Belley";"-0.65"
"01117";"Conzieu";"151";"48";"24";"12";"T01_20";6;"286 - Belley";"0.56"
"01118";"Corbonod";"1278";"305";"228";"125";"T00_30";6;"N/A - hors champ";"0.79"
"01121";"Corlier";"116";"28";"16";"4";"T01_20";6;"572 - Plateau d'Hauteville";"0"
"01123";"Cormoranche-sur-Saône";"1162";"294";"197";"103";"T02_20";6;"084 - Mâcon";"1.38"
"01124";"Cormoz";"689";"160";"122";"66";"T02_20";6;"080 - Bourg-en-Bresse";"0.52"
"01125";"Corveissiat";"612";"159";"98";"46";"T02_20";6;"168 - Oyonnax";"-0.14"
"01127";"Courmangoux";"508";"120";"113";"47";"T02_20";6;"080 - Bourg-en-Bresse";"0.03"
"01128";"Courtes";"305";"73";"50";"32";"T00_30";6;"N/A - hors champ";"1.32"
"01129";"Crans";"291";"77";"63";"26";"T45_20";7;"002 - Lyon";"1.64"
"01130";"Bresse Vallons";"2363";"711";"334";"120";"T02_20";6;"080 - Bourg-en-Bresse";"1.34"
"01133";"Cressin-Rochefort";"394";"76";"91";"30";"T01_20";6;"286 - Belley";"0.6"
"01134";"Crottet";"1758";"414";"340";"121";"T02_20";5;"084 - Mâcon";"0.39"
"01135";"Crozet";"2171";"614";"264";"74";"T45_20";4;"GEN - Genève - Annemasse (partie française)";"1.25"
"01136";"Cruzilles-lès-Mépillat";"893";"241";"142";"59";"T02_20";6;"084 - Mâcon";"1.21"
"01138";"Culoz";"3004";"774";"520";"311";"T01_10";5;"652 - Culoz";"0.1"
"01139";"Curciat-Dongalon";"444";"100";"85";"61";"T02_20";6;"080 - Bourg-en-Bresse";"-0.37"
"01140";"Curtafond";"767";"180";"126";"88";"T02_20";6;"080 - Bourg-en-Bresse";"1.04"
"01141";"Cuzieu";"453";"115";"88";"42";"T01_20";6;"286 - Belley";"1.93"
"01142";"Dagneux";"4777";"1385";"645";"244";"T45_20";2;"002 - Lyon";"1.74"
"01143";"Divonne-les-Bains";"9951";"2658";"1287";"712";"T45_20";4;"GEN - Genève - Annemasse (partie française)";"2.14"
"01145";"Dompierre-sur-Veyle";"1179";"302";"241";"71";"T02_20";6;"080 - Bourg-en-Bresse";"0.06"
"01146";"Dompierre-sur-Chalaronne";"436";"122";"67";"27";"T01_20";6;"524 - Châtillon-sur-Chalaronne";"1.36"
"01147";"Domsure";"492";"116";"93";"42";"T02_20";7;"080 - Bourg-en-Bresse";"0.52"
"01148";"Dortan";"1879";"433";"365";"127";"T02_20";5;"168 - Oyonnax";"0.21"
"01149";"Douvres";"1076";"283";"192";"71";"T01_20";5;"243 - Ambérieu-en-Bugey";"0.98"
"01150";"Drom";"214";"55";"31";"11";"T02_20";6;"080 - Bourg-en-Bresse";"-0.31"
"01151";"Druillat";"1146";"267";"226";"113";"T02_20";6;"080 - Bourg-en-Bresse";"-0.07"
"01152";"Échallon";"748";"184";"123";"65";"T02_20";6;"168 - Oyonnax";"-0.37"
"01153";"Échenevex";"2115";"682";"263";"66";"T45_20";4;"GEN - Genève - Annemasse (partie française)";"1.77"
"01155";"Évosges";"143";"30";"34";"12";"T01_20";6;"572 - Plateau d'Hauteville";"-0.12"
"01156";"Faramans";"815";"229";"118";"45";"T45_20";6;"002 - Lyon";"0.91"
"01157";"Fareins";"2250";"589";"443";"157";"T45_20";5;"002 - Lyon";"0.38"
"01158";"Farges";"1048";"304";"103";"69";"T45_20";5;"GEN - Genève - Annemasse (partie française)";"1.72"
"01159";"Feillens";"3365";"779";"647";"311";"T02_20";5;"084 - Mâcon";"0.92"
"01160";"Ferney-Voltaire";"10026";"2482";"1224";"518";"T45_20";2;"GEN - Genève - Annemasse (partie française)";"1.38"
"01162";"Flaxieu";"65";"18";"8";"7";"T01_20";6;"286 - Belley";"0"
"01163";"Foissiat";"2038";"473";"381";"209";"T02_20";6;"080 - Bourg-en-Bresse";"0.27"
"01165";"Francheleins";"1594";"481";"253";"75";"T00_30";6;"N/A - hors champ";"1.22"
"01166";"Frans";"2423";"578";"410";"144";"T45_20";4;"002 - Lyon";"2.52"
"01167";"Garnerans";"634";"143";"133";"47";"T02_20";6;"084 - Mâcon";"-0.84"
"01169";"Genouilleux";"641";"184";"91";"26";"T00_30";4;"N/A - hors champ";"1.36"
"01170";"Béard-Géovreissiat";"1053";"325";"108";"37";"T02_20";3;"168 - Oyonnax";"0.88"
"01171";"Géovreisset";"844";"197";"154";"47";"T02_20";4;"168 - Oyonnax";"-1.57"
"01173";"Gex";"13121";"3225";"1216";"653";"T45_20";2;"GEN - Genève - Annemasse (partie française)";"3.15"
"01174";"Giron";"178";"46";"26";"13";"T00_30";6;"N/A - hors champ";"0.57"
"01175";"Gorrevod";"784";"198";"148";"61";"T02_20";5;"084 - Mâcon";"-0.93"
"01177";"Grand-Corent";"183";"42";"43";"19";"T02_20";6;"080 - Bourg-en-Bresse";"0.84"
"01179";"Grièges";"1881";"433";"392";"180";"T02_20";5;"084 - Mâcon";"-0.38"
"01180";"Grilly";"839";"214";"137";"64";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"1.22"
"01181";"Groissiat";"1241";"315";"202";"138";"T02_20";6;"168 - Oyonnax";"0.9"
"01183";"Guéreins";"1479";"407";"255";"99";"T00_30";4;"N/A - hors champ";"0.7"
"01184";"Hautecourt-Romanèche";"763";"196";"137";"64";"T02_20";6;"080 - Bourg-en-Bresse";"-0.68"
"01185";"Plateau d'Hauteville";"4844";"941";"962";"765";"T01_10";5;"572 - Plateau d'Hauteville";"-0.9"
"01187";"Haut Valromey";"618";"106";"152";"67";"T00_30";7;"N/A - hors champ";"-1.84"
"01188";"Illiat";"663";"196";"84";"40";"T00_30";6;"N/A - hors champ";"1.91"
"01189";"Injoux-Génissiat";"1115";"289";"146";"63";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"-0.22"
"01190";"Innimond";"87";"17";"20";"14";"T00_30";6;"N/A - hors champ";"-4.82"
"01191";"Izenave";"154";"30";"31";"15";"T00_30";6;"N/A - hors champ";"-1.63"
"01192";"Izernore";"2277";"616";"331";"122";"T02_20";5;"168 - Oyonnax";"-0.25"
"01193";"Izieu";"222";"41";"64";"24";"T00_30";6;"N/A - hors champ";"0.08"
"01194";"Jassans-Riottier";"6346";"1527";"1105";"680";"T45_20";4;"002 - Lyon";"0.24"
"01195";"Jasseron";"1783";"467";"271";"215";"T02_20";5;"080 - Bourg-en-Bresse";"0.98"
"01196";"Jayat";"1226";"395";"151";"82";"T02_20";6;"080 - Bourg-en-Bresse";"1.84"
"01197";"Journans";"351";"73";"84";"28";"T02_20";6;"080 - Bourg-en-Bresse";"0.29"
"01198";"Joyeux";"268";"72";"36";"10";"T45_20";7;"002 - Lyon";"0.31"
"01199";"Jujurieux";"2137";"568";"311";"193";"T01_20";5;"243 - Ambérieu-en-Bugey";"-0.27"
"01200";"Labalme";"214";"51";"35";"14";"T00_30";6;"N/A - hors champ";"0.64"
"01202";"Lagnieu";"7161";"1721";"1183";"693";"T01_10";3;"505 - Lagnieu";"0.65"
"01203";"Laiz";"1313";"334";"235";"72";"T02_20";5;"084 - Mâcon";"1.7"
"01204";"Le Poizat-Lalleyriat";"735";"207";"110";"46";"T00_30";6;"N/A - hors champ";"0.55"
"01206";"Lantenay";"277";"67";"47";"25";"T00_30";6;"N/A - hors champ";"1"
"01207";"Lapeyrouse";"317";"81";"43";"13";"T45_20";6;"002 - Lyon";"0.05"
"01208";"Lavours";"131";"23";"32";"18";"T01_20";6;"286 - Belley";"-1.56"
"01209";"Léaz";"778";"235";"82";"44";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"3.04"
"01210";"Lélex";"228";"44";"34";"25";"T00_30";6;"N/A - hors champ";"-0.22"
"01211";"Lent";"1395";"356";"247";"97";"T02_20";5;"080 - Bourg-en-Bresse";"-0.21"
"01212";"Lescheroux";"718";"188";"134";"59";"T02_20";6;"080 - Bourg-en-Bresse";"0.54"
"01213";"Leyment";"1341";"380";"154";"69";"T45_20";6;"002 - Lyon";"1.19"
"01214";"Leyssard";"158";"30";"34";"11";"T02_20";7;"168 - Oyonnax";"0.98"
"01215";"Surjoux-Lhopital";"140";"32";"19";"12";"T45_20";7;"GEN - Genève - Annemasse (partie française)";"2.04"
"01216";"Lhuis";"894";"188";"213";"115";"T00_30";6;"N/A - hors champ";"0.26"
"01219";"Lompnas";"164";"34";"37";"14";"T00_30";6;"N/A - hors champ";"0.41"
"01224";"Loyettes";"3225";"1004";"429";"146";"T45_20";4;"002 - Lyon";"0.58"
"01225";"Lurcy";"372";"82";"83";"28";"T45_20";6;"002 - Lyon";"-1.33"
"01227";"Magnieu";"643";"162";"139";"44";"T01_20";6;"286 - Belley";"1.19"
"01228";"Maillat";"660";"164";"108";"45";"T00_30";5;"N/A - hors champ";"0.31"
"01229";"Malafretaz";"1235";"319";"209";"107";"T02_20";6;"080 - Bourg-en-Bresse";"1.43"
"01230";"Mantenay-Montlin";"312";"80";"70";"23";"T02_20";7;"080 - Bourg-en-Bresse";"0.16"
"01231";"Manziat";"1948";"466";"403";"159";"T02_20";5;"084 - Mâcon";"0"
"01232";"Marboz";"2276";"549";"434";"235";"T02_20";6;"080 - Bourg-en-Bresse";"0.6"
"01233";"Marchamp";"130";"32";"23";"17";"T00_30";6;"N/A - hors champ";"0.26"
"01234";"Marignieu";"169";"26";"38";"17";"T01_20";6;"286 - Belley";"0.5"
"01235";"Marlieux";"1159";"346";"143";"101";"T45_20";5;"002 - Lyon";"2.58"
"01236";"Marsonnas";"1011";"273";"161";"80";"T02_20";6;"080 - Bourg-en-Bresse";"0.22"
"01237";"Martignat";"1667";"477";"260";"82";"T02_20";5;"168 - Oyonnax";"0.85"
"01238";"Massieux";"2670";"723";"437";"164";"T45_20";4;"002 - Lyon";"1.46"
"01239";"Massignieu-de-Rives";"620";"142";"134";"49";"T01_20";6;"286 - Belley";"-0.68"
"01240";"Matafelon-Granges";"627";"157";"99";"41";"T02_20";6;"168 - Oyonnax";"-0.62"
"01241";"Meillonnas";"1356";"311";"274";"107";"T02_20";6;"080 - Bourg-en-Bresse";"0.67"
"01242";"Mérignat";"135";"38";"22";"6";"T00_30";6;"N/A - hors champ";"1.29"
"01243";"Messimy-sur-Saône";"1253";"338";"231";"85";"T45_20";5;"002 - Lyon";"0.47"
"01244";"Meximieux";"7923";"2125";"1162";"676";"T45_20";2;"002 - Lyon";"1.09"
"01245";"Bohas-Meyriat-Rignat";"943";"257";"160";"75";"T02_20";6;"080 - Bourg-en-Bresse";"1.27"
"01246";"Mézériat";"2217";"590";"392";"180";"T02_20";5;"080 - Bourg-en-Bresse";"0.59"
"01247";"Mijoux";"312";"75";"61";"16";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"-2.36"
"01248";"Mionnay";"2197";"526";"346";"111";"T45_20";5;"002 - Lyon";"0.59"
"01249";"Miribel";"10122";"2738";"1390";"833";"T45_20";4;"002 - Lyon";"1.46"
"01250";"Misérieux";"1974";"603";"289";"108";"T45_20";4;"002 - Lyon";"1.16"
"01252";"Mogneneins";"786";"211";"138";"61";"T00_30";6;"N/A - hors champ";"0.45"
"01254";"Montagnat";"2116";"553";"402";"120";"T02_20";5;"080 - Bourg-en-Bresse";"2.7"
"01255";"Montagnieu";"647";"179";"105";"51";"T00_30";6;"N/A - hors champ";"2.41"
"01257";"Montanges";"351";"81";"54";"30";"T45_20";6;"GEN - Genève - Annemasse (partie française)";"0.63"
"01258";"Montceaux";"1190";"308";"202";"61";"T00_30";5;"N/A - hors champ";"-0.5"
"01259";"Montcet";"702";"198";"87";"33";"T02_20";6;"080 - Bourg-en-Bresse";"1.06"
"01260";"Le Montellier";"302";"88";"40";"19";"T45_20";7;"002 - Lyon";"2.79"
"01261";"Monthieux";"668";"170";"112";"38";"T45_20";5;"002 - Lyon";"-0.02"
"01262";"Montluel";"6886";"1759";"1008";"624";"T45_20";2;"002 - Lyon";"-0.45"
"01263";"Montmerle-sur-Saône";"3772";"942";"644";"395";"T00_30";4;"N/A - hors champ";"-0.25"
"01264";"Montracol";"1016";"276";"146";"74";"T02_20";5;"080 - Bourg-en-Bresse";"0.28"
"01265";"Montréal-la-Cluse";"3456";"892";"520";"252";"T02_20";3;"168 - Oyonnax";"0.22"
"01266";"Montrevel-en-Bresse";"2576";"535";"525";"421";"T02_20";5;"080 - Bourg-en-Bresse";"0.9"
"01267";"Nurieux-Volognat";"1025";"270";"192";"62";"T02_20";6;"168 - Oyonnax";"0"
"01268";"Murs-et-Gélignieux";"246";"65";"51";"22";"T01_20";7;"286 - Belley";"-0.27"
"01269";"Nantua";"3454";"913";"463";"377";"T00_30";5;"N/A - hors champ";"-0.33"
"01272";"Neuville-les-Dames";"1500";"355";"274";"181";"T01_20";5;"524 - Châtillon-sur-Chalaronne";"0.09"
"01273";"Neuville-sur-Ain";"1800";"487";"270";"124";"T00_30";6;"N/A - hors champ";"1.88"
"01274";"Les Neyrolles";"645";"200";"85";"45";"T00_30";5;"N/A - hors champ";"0.23"
"01275";"Neyron";"2569";"651";"456";"172";"T45_20";4;"002 - Lyon";"0.47"
"01276";"Niévroz";"1624";"453";"211";"68";"T45_20";5;"002 - Lyon";"1.06"
"01277";"Nivollet-Montgriffon";"117";"27";"21";"11";"T00_30";7;"N/A - hors champ";"-0.28"
"01279";"Oncieu";"80";"15";"18";"12";"T00_30";6;"N/A - hors champ";"-3.16"
"01280";"Ordonnaz";"138";"34";"26";"17";"T00_30";6;"N/A - hors champ";"-1.81"
"01281";"Ornex";"4483";"1299";"488";"231";"T45_20";4;"GEN - Genève - Annemasse (partie française)";"0.79"
"01282";"Outriaz";"258";"61";"54";"16";"T00_30";6;"N/A - hors champ";"0.13"
"01283";"Oyonnax";"22456";"6271";"3420";"1815";"T02_10";2;"168 - Oyonnax";"0.15"
"01284";"Ozan";"694";"173";"98";"46";"T02_20";6;"084 - Mâcon";"1.12"
"01285";"Parcieux";"1229";"341";"185";"58";"T45_20";4;"002 - Lyon";"1.42"
"01286";"Parves et Nattages";"951";"215";"250";"63";"T03_20";6;"050 - Chambéry";"0.21"
"01288";"Péron";"2717";"755";"250";"106";"T45_20";5;"GEN - Genève - Annemasse (partie française)";"1.83"
"01289";"Péronnas";"6520";"1460";"1267";"868";"T02_10";4;"080 - Bourg-en-Bresse";"1.09"
"01290";"Pérouges";"1273";"270";"246";"128";"T45_20";6;"002 - Lyon";"0.91"
"01291";"Perrex";"842";"197";"164";"60";"T02_20";6;"080 - Bourg-en-Bresse";"1.09"
"01293";"Peyriat";"148";"41";"28";"8";"T02_20";6;"168 - Oyonnax";"-2.85"
"01294";"Peyrieu";"886";"219";"148";"69";"T01_20";6;"286 - Belley";"1.13"
"01295";"Peyzieux-sur-Saône";"686";"236";"50";"15";"T00_30";6;"N/A - hors champ";"1.46"
"01296";"Pirajoux";"420";"119";"69";"35";"T02_20";6;"080 - Bourg-en-Bresse";"0.82"
"01297";"Pizay";"867";"245";"115";"40";"T45_20";6;"002 - Lyon";"2.24"
"01298";"Plagne";"150";"38";"34";"9";"T02_20";6;"168 - Oyonnax";"2.68"
"01299";"Le Plantay";"584";"157";"81";"25";"T45_20";6;"002 - Lyon";"1.73"
"01301";"Polliat";"2547";"613";"458";"241";"T02_20";5;"080 - Bourg-en-Bresse";"0.83"
"01302";"Pollieu";"163";"27";"46";"19";"T01_20";6;"286 - Belley";"0.63"
"01303";"Poncin";"1699";"445";"277";"172";"T00_30";5;"N/A - hors champ";"0.13"
"01304";"Pont-d'Ain";"2924";"767";"446";"281";"T00_30";5;"N/A - hors champ";"1.13"
"01305";"Pont-de-Vaux";"2213";"417";"405";"430";"T02_20";5;"084 - Mâcon";"-0.47"
"01306";"Pont-de-Veyle";"1641";"368";"265";"266";"T02_20";5;"084 - Mâcon";"0.31"
"01307";"Port";"836";"194";"149";"89";"T02_20";3;"168 - Oyonnax";"-0.24"
"01308";"Pougny";"807";"211";"126";"52";"T45_20";5;"GEN - Genève - Annemasse (partie française)";"-0.16"
"01309";"Pouillat";"85";"22";"14";"10";"T02_20";7;"080 - Bourg-en-Bresse";"-1.49"
"01310";"Prémeyzel";"251";"39";"40";"10";"T01_20";6;"286 - Belley";"2.07"
"01311";"Prémillieu";"44";"8";"8";"5";"T00_30";7;"N/A - hors champ";"-0.37"
"01313";"Prévessin-Moëns";"8711";"2616";"903";"295";"T45_20";4;"GEN - Genève - Annemasse (partie française)";"2.39"
"01314";"Priay";"1729";"463";"218";"142";"T45_20";6;"002 - Lyon";"1.3"
"01317";"Ramasse";"330";"101";"44";"23";"T02_20";6;"080 - Bourg-en-Bresse";"2.29"
"01318";"Rancé";"726";"212";"119";"24";"T45_20";6;"002 - Lyon";"0.97"
"01319";"Relevant";"466";"125";"71";"40";"T01_20";6;"524 - Châtillon-sur-Chalaronne";"-0.18"
