"codgeo";"libgeo";"pop2019";"pop0020_2019";"pop6475_2019";"pop7582019";"typoAAV20";"grilledens7";"libaav20";"tx_evol_annuel_1319"
"17463";"Vergeroux";"1258";"301";"267";"86";"T03_20";5;"051 - La Rochelle";"2.69"
"17464";"Vergné";"151";"28";"39";"16";"T00_30";6;"N/A - hors champ";"0.91"
"17465";"La Vergne";"590";"123";"142";"51";"T01_20";6;"315 - Saint-Jean-d'Angély";"-0.11"
"17466";"Vérines";"2296";"655";"321";"108";"T03_20";5;"051 - La Rochelle";"1.02"
"17467";"Vervant";"235";"59";"47";"17";"T01_20";6;"315 - Saint-Jean-d'Angély";"-0.07"
"17468";"Vibrac";"150";"25";"37";"21";"T01_20";6;"354 - Jonzac";"-1.27"
"17469";"Villars-en-Pons";"575";"145";"73";"50";"T02_20";6;"120 - Saintes";"0.65"
"17470";"Villars-les-Bois";"232";"38";"50";"29";"T02_20";6;"120 - Saintes";"-2.13"
"17471";"La Villedieu";"210";"28";"58";"32";"T00_30";6;"N/A - hors champ";"0.24"
"17472";"Villedoux";"2278";"726";"270";"87";"T03_20";5;"051 - La Rochelle";"1.17"
"17473";"Villemorin";"117";"23";"32";"12";"T00_30";6;"N/A - hors champ";"4.09"
"17474";"Villeneuve-la-Comtesse";"739";"181";"179";"79";"T02_20";6;"063 - Niort";"-0.51"
"17476";"Villexavier";"272";"78";"65";"28";"T01_20";7;"354 - Jonzac";"0.95"
"17477";"Villiers-Couture";"110";"17";"36";"10";"T00_30";7;"N/A - hors champ";"-2.49"
"17478";"Vinax";"58";"10";"15";"7";"T00_30";7;"N/A - hors champ";"-2.13"
"17479";"Virollet";"294";"53";"76";"34";"T00_30";7;"N/A - hors champ";"2.88"
"17480";"Virson";"766";"255";"97";"29";"T03_20";6;"051 - La Rochelle";"0.44"
"17481";"Voissay";"164";"35";"29";"13";"T01_20";6;"315 - Saint-Jean-d'Angély";"-1.08"
"17482";"Vouhé";"644";"173";"117";"53";"T03_20";6;"051 - La Rochelle";"-0.38"
"17483";"Yves";"1490";"316";"326";"78";"T03_20";6;"051 - La Rochelle";"0.29"
"17484";"Port-des-Barques";"1768";"244";"607";"297";"T02_20";5;"140 - Rochefort";"-0.82"
"17485";"Le Grand-Village-Plage";"1070";"144";"284";"242";"T00_30";5;"N/A - hors champ";"0.41"
"17486";"La Brée-les-Bains";"684";"57";"249";"170";"T00_30";6;"N/A - hors champ";"-0.81"
"18001";"Achères";"380";"86";"79";"31";"T02_20";6;"064 - Bourges";"0.18"
"18002";"Ainay-le-Vieil";"191";"38";"42";"18";"T01_20";6;"300 - Saint-Amand-Montrond";"-1.01"
"18003";"Les Aix-d'Angillon";"1889";"359";"406";"295";"T02_20";5;"064 - Bourges";"-0.11"
"18004";"Allogny";"1070";"259";"212";"80";"T02_20";6;"064 - Bourges";"0.72"
"18005";"Allouis";"1068";"314";"165";"58";"T02_20";6;"064 - Bourges";"1.36"
"18006";"Annoix";"237";"54";"64";"18";"T02_20";6;"064 - Bourges";"0.14"
"18007";"Apremont-sur-Allier";"70";"9";"25";"8";"T02_20";7;"097 - Nevers";"-0.24"
"18008";"Arçay";"500";"136";"71";"28";"T02_20";6;"064 - Bourges";"-0.65"
"18009";"Arcomps";"283";"51";"59";"33";"T01_20";7;"300 - Saint-Amand-Montrond";"-1.24"
